"ID","Variable","MetadataSchema","PurposeOfUse1","Metadata_schema_coded","Metadata_schemas_TTRAM_1","PurposeOfUse1_coded"
1,1,"CESSDA metadata model (DDI)","curation of metadata","DDI","Discovery & Identification","Curation"
1,2,"Dublin core","metadata export","Dublin Core","Discovery & Identification","Metadata export"
1,3,"schema.org","metadata export","Schema.org","Discovery & Identification","Citational metadata"
1,4,,,,,
1,5,,,,,
2,1,,,,,
2,2,,,,,
2,3,,,,,
2,4,,,,,
2,5,,,,,
3,1,,,,,
3,2,,,,,
3,3,,,,,
3,4,,,,,
3,5,,,,,
4,1,,,,,
4,2,,,,,
4,3,,,,,
4,4,,,,,
4,5,,,,,
5,1,"Dublin Core","describing items in repository","Dublin Core","Discovery & Identification","Data description"
5,2,"DataCite","Obtaining DataCite DOIs; also used for a suggested citation.","Datacite Metadata Schema","Discovery & Identification","Identifier registration"
5,3,,,,,
5,4,,,,,
5,5,,,,,
6,1,"Dataverse native core metadata schema","Main metadata","Dataverse Metadata Schema","Discovery & Identification","Main metadata schema"
6,2,"DDI","Social sciences metadata block ; OAI-PMH server","DDI","Discovery & Identification","Social sciences metadata block (Dataverse)"
6,3,"Dublin Core","Main metadata; OAI-PMH server","Dublin Core","Discovery & Identification","Data description"
6,3,"Dublin Core","Main metadata; OAI-PMH server","Dublin Core","Discovery & Identification","Harvesting"
6,4,"DataCite","Main metadata (some fields)","Datacite Metadata Schema","Discovery & Identification","Data description"
6,5,"ISA-TAB","Life science metadata block","ISA-TAB","Discovery & Identification","Life science metadata"
7,1,,,,,
7,2,,,,,
7,3,,,,,
7,4,,,,,
7,5,,,,,
8,1,"ISO - International Organization for Standardization","Metadata description","Other : ISO standard","Discovery & Identification","Metadata description"
8,2,"ISO - International Organization for Standardization","Metadata description","Other : ISO standard","Discovery & Identification","Metadata description"
8,3,"ISO - International Organization for Standardization","Quality and Imagery Description","Other : ISO standard","Discovery & Identification","Quality and Imagery Description"
8,4,"ISO - International Organization for Standardization","Feature description","Other : ISO standard","Discovery & Identification","Feature description"
8,5,,,,,
9,1,"DDI","datasets","DDI","Discovery & Identification","Data description"
9,2,,,,,
9,3,,,,,
9,4,,,,,
9,5,,,,,
10,1,,,,,
10,2,,,,,
10,3,,,,,
10,4,,,,,
10,5,,,,,
11,1,"GNSS-DCAT-AP","Provide metadata for the RINEX files, links to the associated station metadata and metadata of the repository","DCAT","Discovery & Identification","Metadata schema used for specific elements"
11,2,,,,,
11,3,,,,,
11,4,,,,,
11,5,,,,,
12,1,"Schema.org","To publish the GNSS station metadata on the PID (w3id) landing page","Schema.org",,"To publish the GNSS station metadata on the PID (w3id) landing page"
12,2,,,,,
12,3,,,,,
12,4,,,,,
12,5,,,,,
13,1,"in house schema, index.md file","all metadata","Internal : Custom","Discovery & Identification","Main metadata schema"
13,2,"DataCite","planned","Datacite Metadata Schema",,
13,3,,,,,
13,4,,,,,
13,5,,,,,
14,1,"MODS","Bibliographic description of all meta-data","MODS","Discovery & Identification","(Meta)data description"
14,2,,,,,
14,3,,,,,
14,4,,,,,
14,5,,,,,
15,1,,,,,
15,2,,,,,
15,3,,,,,
15,4,,,,,
15,5,,,,,
16,1,"DataCite","To obtain DOI.","Datacite Metadata Schema","Discovery & Identification","Identifier registration"
16,2,"Native crystallographic metadata schema.",,"""Native crystallographic metadata schema.""",,
16,3,,,,,
16,4,,,,,
16,5,,,,,
17,1,,,,,
17,2,,,,,
17,3,,,,,
17,4,,,,,
17,5,,,,,
18,1,"Dublin Core","Description of digital objects","Dublin Core","Discovery & Identification","Data description"
18,2,"DataCite","Description of digital objects","Datacite Metadata Schema","Discovery & Identification","Digital object description"
18,3,,,,,
18,4,,,,,
18,5,,,,,
19,1,"DDI","(Parts of) DDI Lite, DDI 2.5 Codebook are used for discovery metadata.","DDI","Discovery & Identification, Access","Discovery facilitation and discovery metadata"
19,2,"Dublin Core","(Parts of) DCMI Metadata Terms are used for discovery metadata.","Dublin Core","Discovery & Identification, Access","Discovery facilitation and discovery metadata"
19,3,"DataCite","Discovery metadata are compliant with DataCite 4.0 and used for discovery through DataCite.","Datacite Metadata Schema","Discovery & Identification, Access","Discovery facilitation and discovery metadata"
19,4,,,,,
19,5,,,,,
20,1,"DDI","(Parts of) DDI Lite, DDI 2.5 Codebook are used for discovery metadata.","DDI","Discovery & Identification, Access","Discovery facilitation and discovery metadata"
20,2,"Dublin Core","(Parts of) DCMI Metadata Terms are used for discovery metadata.","Dublin Core","Discovery & Identification, Access","Discovery facilitation and discovery metadata"
20,3,"DataCite","Discovery metadata are compliant with DataCite 4.0 and used for discovery through DataCite.","Datacite Metadata Schema","Discovery & Identification, Access","Discovery facilitation and discovery metadata"
20,4,,,,,
20,5,,,,,
21,1,,,,,
21,2,,,,,
21,3,,,,,
21,4,,,,,
21,5,,,,,
22,1,"DataCite","To obtain DOI","Datacite Metadata Schema","Discovery & Identification","Identifier registration"
22,2,"DDI",,"DDI",,
22,3,"Dublin Core",,"Dublin Core",,
22,4,"OpenAIRE",,"OpenAIRE","Discovery & Identification",
