"ID","Variable","Catalogues_registries","PurposeOfUse2","Catalogues_registries_coded","Catalogue_registries_TTRAM","PurposeOfUse2_coded","PurposeOfUse2_coded_TTRAM"
1,1,,,,,,
1,2,,,,,,
1,3,,,,,,
1,4,,,,,,
1,5,,,,,,
2,1,,,,,,
2,2,,,,,,
2,3,,,,,,
2,4,,,,,,
2,5,,,,,,
3,1,,,,,,
3,2,,,,,,
3,3,,,,,,
3,4,,,,,,
3,5,,,,,,
4,1,,,,,,
4,2,,,,,,
4,3,,,,,,
4,4,,,,,,
4,5,,,,,,
5,1,,,,,,
5,2,,,,,,
5,3,,,,,,
5,4,,,,,,
5,5,,,,,,
6,1,"DataCite","(digital object, PID, contributor type, kind of data)","Datacite","Discovery & Identification","Identifier registration","Identifier registration (Discovery & Identification)"
6,2,"Agroportal / Ontoportal instances","keywords","Agroportal / Ontoportal instances","Discovery & Identification","Semantic : ontologies","Semantic : ontologies (Discovery & Identification)"
6,3,"ISO 639","Language metadata","ISO 639 - Language codes","Discovery & Identification","ISO standard","ISO standard (Discovery & Identification)"
6,4,"ISO 3166","Countries","ISO 3166 - Country name codes","Curation, quality & Compliance","ISO standard","ISO standard (Curation, quality & Compliance)"
6,5,,,,,,
7,1,,,,,,
7,2,,,,,,
7,3,,,,,,
7,4,,,,,,
7,5,,,,,,
8,1,"https://vocab.ifremer.fr/","Ifremer Vocabulary Server","IFREMER vocabulary","Discovery & Identification","Semantic : vocabularies and thesauri","Semantic : vocabularies and thesauri (Discovery & Identification)"
8,2,"https://vocab.nerc.ac.uk/collection/","The NERC Vocabulary Server (NVS)","NERC vocabulary server","Discovery & Identification","Semantic : vocabularies and thesauri","Semantic : vocabularies and thesauri (Discovery & Identification)"
8,3,"https://earthportal.eu/","Ontologies and semantic artefacts for Earth sciences.","EarthPortal","Discovery & Identification","Semantic : ontologies","Semantic : ontologies (Discovery & Identification)"
8,4,,,,,,
8,5,,,,,,
9,1,,,,,,
9,2,,,,,,
9,3,,,,,,
9,4,,,,,,
9,5,,,,,,
10,1,,,,,,
10,2,,,,,,
10,3,,,,,,
10,4,,,,,,
10,5,,,,,,
11,1,"https://gnss.be/pub/RINEX-metadata/catalog.html",,"Belgian GNSS Data Repository","Discovery & Identification","Data catalogues","Data catalogues (Discovery & Identification)"
11,2,,,,,,
11,3,,,,,,
11,4,,,,,,
11,5,,,,,,
12,1,,,,,,
12,2,,,,,,
12,3,,,,,,
12,4,,,,,,
12,5,,,,,,
13,1,,,,,,
13,2,,,,,,
13,3,,,,,,
13,4,,,,,,
13,5,,,,,,
14,1,"Reposis Service of the GBV","Deposit & Appraisal, Curation, Quality & Compliance, Access, Reuse, Preservation","Reposis Service of the GBV","All","Multiple purpose","Multiple purpose (All)"
14,2,"CrossAsia user administration (Shibboleth authentification)","user authentification (only registered CrossAsia users can upload data)","CrossAsia user administration (Shibboleth authentification)","Workflows","Authentication tools","Authentication tools (Workflows)"
14,3,"DOI registry","PID management","DOI registry","Discovery & Identification","PID management","PID management (Discovery & Identification)"
14,4,"URN registry","PID management","URN registry","Discovery & Identification","PID management","PID management (Discovery & Identification)"
14,5,"CrossAsia Search (based on PICA format, part of the GBV framework database)","Search repository data","CrossAsia Search (based on PICA format, part of the GBV framework database)","Discovery & Identification","Data repository","Data repository (Discovery & Identification)"
15,1,"geonames","location","geonames","Discovery & Identification","Semantic : geographical metadata","Semantic : geographical metadata (Discovery & Identification)"
15,2,"opentheso/pactols","content","Pactols","Discovery & Identification","Semantic : vocabularies and thesauri","Semantic : vocabularies and thesauri (Discovery & Identification)"
15,3,"perio.do","chronology","perio.do","Discovery & Identification","Semantic : vocabularies and thesauri","Semantic : vocabularies and thesauri (Discovery & Identification)"
15,4,"aat getty","content","aat getty","Discovery & Identification","Semantic : vocabularies and thesauri","Semantic : vocabularies and thesauri (Discovery & Identification)"
15,5,,,,,,
16,1,,,,,,
16,2,,,,,,
16,3,,,,,,
16,4,,,,,,
16,5,,,,,,
17,1,,,,,,
17,2,,,,,,
17,3,,,,,,
17,4,,,,,,
17,5,,,,,,
18,1,,,,,,
18,2,,,,,,
18,3,,,,,,
18,4,,,,,,
18,5,,,,,,
19,1,,,,,,
19,2,,,,,,
19,3,,,,,,
19,4,,,,,,
19,5,,,,,,
20,1,,,,,,
20,2,,,,,,
20,3,,,,,,
20,4,,,,,,
20,5,,,,,,
21,1,,,,,,
21,2,,,,,,
21,3,,,,,,
21,4,,,,,,
21,5,,,,,,
22,1,,,,,,
22,2,,,,,,
22,3,,,,,,
22,4,,,,,,
22,5,,,,,,
23,1,,,,,,
23,2,,,,,,
23,3,,,,,,
23,4,,,,,,
23,5,,,,,,
24,1,,,,,,
24,2,,,,,,
24,3,,,,,,
24,4,,,,,,
24,5,,,,,,
25,1,,,,,,
25,2,,,,,,
25,3,,,,,,
25,4,,,,,,
25,5,,,,,,
26,1,,,,,,
26,2,,,,,,
26,3,,,,,,
26,4,,,,,,
26,5,,,,,,
27,1,,,,,,
27,2,,,,,,
27,3,,,,,,
27,4,,,,,,
27,5,,,,,,
28,1,,,,,,
28,2,,,,,,
28,3,,,,,,
28,4,,,,,,
28,5,,,,,,
29,1,,,,,,
29,2,,,,,,
29,3,,,,,,
29,4,,,,,,
29,5,,,,,,
30,1,,,,,,
30,2,,,,,,
30,3,,,,,,
30,4,,,,,,
30,5,,,,,,
31,1,,,,,,
31,2,,,,,,
31,3,,,,,,
31,4,,,,,,
31,5,,,,,,
32,1,,,,,,
32,2,,,,,,
32,3,,,,,,
32,4,,,,,,
32,5,,,,,,
33,1,,,,,,
33,2,,,,,,
33,3,,,,,,
33,4,,,,,,
33,5,,,,,,
34,1,,,,,,
34,2,,,,,,
34,3,,,,,,
34,4,,,,,,
34,5,,,,,,
35,1,,,,,,
35,2,,,,,,
35,3,,,,,,
35,4,,,,,,
35,5,,,,,,
36,1,,,,,,
36,2,,,,,,
36,3,,,,,,
36,4,,,,,,
36,5,,,,,,
37,1,,,,,,
37,2,,,,,,
37,3,,,,,,
37,4,,,,,,
37,5,,,,,,
38,1,,,,,,
38,2,,,,,,
38,3,,,,,,
38,4,,,,,,
38,5,,,,,,
39,1,,,,,,
39,2,,,,,,
39,3,,,,,,
39,4,,,,,,
39,5,,,,,,
40,1,,,,,,
40,2,,,,,,
40,3,,,,,,
40,4,,,,,,
40,5,,,,,,
41,1,,,,,,
41,2,,,,,,
41,3,,,,,,
41,4,,,,,,
41,5,,,,,,
42,1,,,,,,
42,2,,,,,,
42,3,,,,,,
42,4,,,,,,
42,5,,,,,,
43,1,,,,,,
43,2,,,,,,
43,3,,,,,,
43,4,,,,,,
43,5,,,,,,
44,1,,,,,,
44,2,,,,,,
44,3,,,,,,
44,4,,,,,,
44,5,,,,,,
45,1,,,,,,
45,2,,,,,,
45,3,,,,,,
45,4,,,,,,
45,5,,,,,,
46,1,"Datacite","DOI of datasets","Datacite","Discovery & Identification","Identifier registration","Identifier registration (Discovery & Identification)"
46,2,"ORCID","Author IDs","ORCID","Discovery & Identification","PID management","PID management (Discovery & Identification)"
46,3,"ROR","Research organisations as author affiliation","ROR","Discovery & Identification","PID management","PID management (Discovery & Identification)"
46,4,"TIB Terminology Service","Subject indexing, Keywords","TIB Terminology Service","Discovery & Identification","Semantic : vocabularies and thesauri","Semantic : vocabularies and thesauri (Discovery & Identification)"
46,5,"Wikidata","Keywords","Wikidata","Discovery & Identification","Semantic : vocabularies and thesauri","Semantic : vocabularies and thesauri (Discovery & Identification)"
47,1,"Ontology Lookup Service","Access to Controlled Vocabularies/ontologies","Ontology Lookup Service","Discovery & Identification","Semantic : ontologies","Semantic : ontologies (Discovery & Identification)"
47,2,,,,,,
47,3,,,,,,
47,4,,,,,,
47,5,,,,,,
48,1,,,,,,
48,2,,,,,,
48,3,,,,,,
48,4,,,,,,
48,5,,,,,,
49,1,"Deposit & Appraisal",,"--NULL--",,,
49,2,"Curation, Quality & Compliance",,"--NULL--",,,
49,3,"Access",,"--NULL--",,,
49,4,"Reuse",,"--NULL--",,,
49,5,"Preservation",,"--NULL--",,,
50,1,"Datacite DOI","DOI","Datacite","Discovery & Identification","Identifier registration","Identifier registration (Discovery & Identification)"
50,2,"da|ra","DOI","da|ra","Discovery & Identification","Identifier registration","Identifier registration (Discovery & Identification)"
50,3,,,,,,
50,4,,,,,,
50,5,,,,,,
51,1,,,,,,
51,2,,,,,,
51,3,,,,,,
51,4,,,,,,
51,5,,,,,,
52,1,"Ontology Lookup Service","Ontologies & Controlled Vocabularies","Ontology Lookup Service","Discovery & Identification","Semantic : ontologies","Semantic : ontologies (Discovery & Identification)"
52,2,"EuropePubMed Central","Scientific Publications - References","EuropePubMed Central","Discovery & Identification","Bibliographic databases","Bibliographic databases (Discovery & Identification)"
52,3,,,,,,
52,4,,,,,,
52,5,,,,,,
53,1,,,,,,
53,2,,,,,,
53,3,,,,,,
53,4,,,,,,
53,5,,,,,,
54,1,,,,,,
54,2,,,,,,
54,3,,,,,,
54,4,,,,,,
54,5,,,,,,
55,1,,,,,,
55,2,,,,,,
55,3,,,,,,
55,4,,,,,,
55,5,,,,,,
56,1,,,,,,
56,2,,,,,,
56,3,,,,,,
56,4,,,,,,
56,5,,,,,,
57,1,,,,,,
57,2,,,,,,
57,3,,,,,,
57,4,,,,,,
57,5,,,,,,
58,1,,,,,,
58,2,,,,,,
58,3,,,,,,
58,4,,,,,,
58,5,,,,,,
59,1,,,,,,
59,2,,,,,,
59,3,,,,,,
59,4,,,,,,
59,5,,,,,,
60,1,,,,,,
60,2,,,,,,
60,3,,,,,,
60,4,,,,,,
60,5,,,,,,
61,1,,,,,,
61,2,,,,,,
61,3,,,,,,
61,4,,,,,,
61,5,,,,,,
62,1,,,,,,
62,2,,,,,,
62,3,,,,,,
62,4,,,,,,
62,5,,,,,,
63,1,,,,,,
63,2,,,,,,
63,3,,,,,,
63,4,,,,,,
63,5,,,,,,
64,1,,,,,,
64,2,,,,,,
64,3,,,,,,
64,4,,,,,,
64,5,,,,,,
65,1,,,,,,
65,2,,,,,,
65,3,,,,,,
65,4,,,,,,
65,5,,,,,,
66,1,,,,,,
66,2,,,,,,
66,3,,,,,,
66,4,,,,,,
66,5,,,,,,
67,1,,,,,,
67,2,,,,,,
67,3,,,,,,
67,4,,,,,,
67,5,,,,,,
68,1,,,,,,
68,2,,,,,,
68,3,,,,,,
68,4,,,,,,
68,5,,,,,,
69,1,,,,,,
69,2,,,,,,
69,3,,,,,,
69,4,,,,,,
69,5,,,,,,
70,1,,,,,,
70,2,,,,,,
70,3,,,,,,
70,4,,,,,,
70,5,,,,,,
71,1,,,,,,
71,2,,,,,,
71,3,,,,,,
71,4,,,,,,
71,5,,,,,,
72,1,,,,,,
72,2,,,,,,
72,3,,,,,,
72,4,,,,,,
72,5,,,,,,
73,1,,,,,,
73,2,,,,,,
73,3,,,,,,
73,4,,,,,,
73,5,,,,,,
74,1,,,,,,
74,2,,,,,,
74,3,,,,,,
74,4,,,,,,
74,5,,,,,,
75,1,,,,,,
75,2,,,,,,
75,3,,,,,,
75,4,,,,,,
75,5,,,,,,
76,1,,,,,,
76,2,,,,,,
76,3,,,,,,
76,4,,,,,,
76,5,,,,,,
77,1,"Meaning of question unclear",,"--NULL--",,,
77,2,,,,,,
77,3,,,,,,
77,4,,,,,,
77,5,,,,,,
78,1,,,,,,
78,2,,,,,,
78,3,,,,,,
78,4,,,,,,
78,5,,,,,,
79,1,,,,,,
79,2,,,,,,
79,3,,,,,,
79,4,,,,,,
79,5,,,,,,
80,1,,,,,,
80,2,,,,,,
80,3,,,,,,
80,4,,,,,,
80,5,,,,,,
81,1,,,,,,
81,2,,,,,,
81,3,,,,,,
81,4,,,,,,
81,5,,,,,,
82,1,,,,,,
82,2,,,,,,
82,3,,,,,,
82,4,,,,,,
82,5,,,,,,
83,1,,,,,,
83,2,,,,,,
83,3,,,,,,
83,4,,,,,,
83,5,,,,,,
84,1,,,,,,
84,2,,,,,,
84,3,,,,,,
84,4,,,,,,
84,5,,,,,,
85,1,"https://clarino.uib.no/comedi/home","Metadata management","COMEDI","Discovery & Identification","Metadata editors","Metadata editors (Discovery & Identification)"
85,2,"https://urn.fi/; http://hdl.handle.net","PIDs (Access, Reuse)","Handle  System","Discovery & Identification","PID management","PID management (Discovery & Identification)"
85,3,"https://lbr.csc.fi/","Access","Language Bank Rights service","Discovery & Identification","Data banks","Data banks (Discovery & Identification)"
85,4,,,,,,
85,5,,,,,,
86,1,,,,,,
86,2,,,,,,
86,3,,,,,,
86,4,,,,,,
86,5,,,,,,
87,1,,,,,,
87,2,,,,,,
87,3,,,,,,
87,4,,,,,,
87,5,,,,,,
88,1,,,,,,
88,2,,,,,,
88,3,,,,,,
88,4,,,,,,
88,5,,,,,,
89,1,,,,,,
89,2,,,,,,
89,3,,,,,,
89,4,,,,,,
89,5,,,,,,
90,1,,,,,,
90,2,,,,,,
90,3,,,,,,
90,4,,,,,,
90,5,,,,,,
91,1,,,,,,
