"Question","ID","Variable","Catalogues_services_merged","Purpose_of_use_merged","Catalogue_services_merged_coded","Catalogue_services_TTRAM","PurposeOfUse_merged_coded","PurposeOfUse_merged_coded_TTRAM"
"catalogues_registries",1,1,,,,,,
"catalogues_registries",1,2,,,,,,
"catalogues_registries",1,3,,,,,,
"catalogues_registries",1,4,,,,,,
"catalogues_registries",1,5,,,,,,
"catalogues_registries",2,1,,,,,,
"catalogues_registries",2,2,,,,,,
"catalogues_registries",2,3,,,,,,
"catalogues_registries",2,4,,,,,,
"catalogues_registries",2,5,,,,,,
"catalogues_registries",3,1,,,,,,
"catalogues_registries",3,2,,,,,,
"catalogues_registries",3,3,,,,,,
"catalogues_registries",3,4,,,,,,
"catalogues_registries",3,5,,,,,,
"catalogues_registries",4,1,,,,,,
"catalogues_registries",4,2,,,,,,
"catalogues_registries",4,3,,,,,,
"catalogues_registries",4,4,,,,,,
"catalogues_registries",4,5,,,,,,
"catalogues_registries",5,1,,,,,,
"catalogues_registries",5,2,,,,,,
"catalogues_registries",5,3,,,,,,
"catalogues_registries",5,4,,,,,,
"catalogues_registries",5,5,,,,,,
"catalogues_registries",6,1,"DataCite","(digital object, PID, contributor type, kind of data)","Datacite","Discovery & Identification","Identifier registration","Identifier registration (Discovery & Identification)"
"catalogues_registries",6,2,"Agroportal / Ontoportal instances","keywords","Agroportal / Ontoportal instances","Discovery & Identification","Semantic : ontologies","Semantic : ontologies (Discovery & Identification)"
"catalogues_registries",6,3,"ISO 639","Language metadata","ISO 639 - Language codes","Discovery & Identification","ISO standard","ISO standard (Discovery & Identification)"
"catalogues_registries",6,4,"ISO 3166","Countries","ISO 3166 - Country name codes","Curation, quality & Compliance","ISO standard","ISO standard (Curation, quality & Compliance)"
"catalogues_registries",6,5,,,,,,
"catalogues_registries",7,1,,,,,,
"catalogues_registries",7,2,,,,,,
"catalogues_registries",7,3,,,,,,
"catalogues_registries",7,4,,,,,,
"catalogues_registries",7,5,,,,,,
"catalogues_registries",8,1,"https://vocab.ifremer.fr/","Ifremer Vocabulary Server","IFREMER vocabulary","Discovery & Identification","Semantic : vocabularies and thesauri","Semantic : vocabularies and thesauri (Discovery & Identification)"
"catalogues_registries",8,2,"https://vocab.nerc.ac.uk/collection/","The NERC Vocabulary Server (NVS)","NERC vocabulary server","Discovery & Identification","Semantic : vocabularies and thesauri","Semantic : vocabularies and thesauri (Discovery & Identification)"
"catalogues_registries",8,3,"https://earthportal.eu/","Ontologies and semantic artefacts for Earth sciences.","EarthPortal","Discovery & Identification","Semantic : ontologies","Semantic : ontologies (Discovery & Identification)"
"catalogues_registries",8,4,,,,,,
"catalogues_registries",8,5,,,,,,
"catalogues_registries",9,1,,,,,,
"catalogues_registries",9,2,,,,,,
"catalogues_registries",9,3,,,,,,
"catalogues_registries",9,4,,,,,,
"catalogues_registries",9,5,,,,,,
"catalogues_registries",10,1,,,,,,
"catalogues_registries",10,2,,,,,,
"catalogues_registries",10,3,,,,,,
"catalogues_registries",10,4,,,,,,
"catalogues_registries",10,5,,,,,,
"catalogues_registries",11,1,"https://gnss.be/pub/RINEX-metadata/catalog.html",,"Belgian GNSS Data Repository","Discovery & Identification","Data catalogues","Data catalogues (Discovery & Identification)"
"catalogues_registries",11,2,,,,,,
"catalogues_registries",11,3,,,,,,
"catalogues_registries",11,4,,,,,,
"catalogues_registries",11,5,,,,,,
"catalogues_registries",12,1,,,,,,
"catalogues_registries",12,2,,,,,,
"catalogues_registries",12,3,,,,,,
"catalogues_registries",12,4,,,,,,
"catalogues_registries",12,5,,,,,,
"catalogues_registries",13,1,,,,,,
"catalogues_registries",13,2,,,,,,
"catalogues_registries",13,3,,,,,,
"catalogues_registries",13,4,,,,,,
"catalogues_registries",13,5,,,,,,
"catalogues_registries",14,1,"Reposis Service of the GBV","Deposit & Appraisal, Curation, Quality & Compliance, Access, Reuse, Preservation","Reposis Service of the GBV","All","Multiple purpose","Multiple purpose (All)"
"catalogues_registries",14,2,"CrossAsia user administration (Shibboleth authentification)","user authentification (only registered CrossAsia users can upload data)","CrossAsia user administration (Shibboleth authentification)","Workflows","Authentication tools","Authentication tools (Workflows)"
"catalogues_registries",14,3,"DOI registry","PID management","DOI registry","Discovery & Identification","PID management","PID management (Discovery & Identification)"
"catalogues_registries",14,4,"URN registry","PID management","URN registry","Discovery & Identification","PID management","PID management (Discovery & Identification)"
"catalogues_registries",14,5,"CrossAsia Search (based on PICA format, part of the GBV framework database)","Search repository data","CrossAsia Search (based on PICA format, part of the GBV framework database)","Discovery & Identification","Data repository","Data repository (Discovery & Identification)"
