"ID","For the reuse of data, which license(s) does your repository apply?","CC0","CC-BY or compliant","CC-BY-SA","CC-BY-NC","CC-BY-NC-SA","BSD","Apache","ODBI","LGPL","AGPL","ODC","MIT",,"European Union public license","""Public domain"" or ""free use"" without a (known) license","Commercial license","All rights reserved","Scientific use file Licence","Other : ToS, Internal licenses...","Custom license, chosen by user"
1,"CC-BY, CC-BY-SA, CC-BY-NC, Scientific Use File Licence",,1,1,1,,,,,,,,,,,,,,1,,
2,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,
5,"Default licence is CC-BY 4.0 International but users can override this to attach their own choice.",,1,,,,,,,,,,,,,,,,,,
6,"https://spdx.org/licenses/etalab-2.0.html",,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,
11,"CC BY 4.0",,1,,,,,,,,,,,,,,,,,,
12,"CC BY 4.0",,1,,,,,,,,,,,,,,,,,,
13,"CC-BY 4.0",,1,,,,,,,,,,,,,,,,,,
14,"depends on selection of user (CrossAsia Open Access Repository licence (German copyright law) or Creative Commons license etc.",,1,1,1,,,,,,,,,,,,,,,1,
15,"users choose from different CC-BY or ETALAB",,1,,,,,,,,,,,,,,,,,,
16,"CC BY (default), CC0",1,1,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,
18,"mainly Creative Commons licenses, but users can choose other or own licenses as well (license name and URL must be indicated)",,1,1,1,,,,,,,,,,,,,,,,
19,"Whenever possible, Creative Commons CC0 (default) or other recommended standard licenses",,1,1,1,,,,,,,,,,,,,,,,
20,"Whenever possible, Creative Commons CC0 (default) or other recommended standard licenses",,1,1,1,,,,,,,,,,,,,,,,
21,"CCBY",,1,,,,,,,,,,,,,,,,,,
22,"CC0 (default), CC BY, CC BY SA, Apache, BSD, GPL, LGPL, AGPL, ODC, MIT",1,1,1,1,,1,1,,1,1,1,1,,,,,,,,
