"ID","challenges_other","challenges_coded","TTRAM_validation_1","TTRAM_validation_2"
108,,"-",,
92,"Data interoperability, supporting discipline-specific metadata standards and tools.
Research workflows increasingly require bringing code to data, and vice versa; connect with services to enable this.","Data interoperability (connect code to data)","Interoperability",
50,"Nothing major. Lack of personnel mainly.","Human resources","Other","Resources"
104,"We need more curation and outreach to engage a broader community.","Community engagement and outreach","Other","External Engagement"
104,"We need more curation and outreach to engage a broader community.","Curation","Curation, Quality & Compliance",
62,"Too few people in the repository staff that support the deposit and validation of the items, too long waiting times in case of major maintenance activities and infrastructure upgrades.","Human resources : infrastructure","Other","Resources"
62,"Too few people in the repository staff that support the deposit and validation of the items, too long waiting times in case of major maintenance activities and infrastructure upgrades.","Metadata quality and curation","Curation, Quality & Compliance",
29,"Des améliorations sur la gestion des métadonnées, de relations avec les utilisateurs. Ils sont détaillés dans la colonne des tickets ouverts en attente de financement. https://gitlab.huma-num.fr/arkeogis/arkeogis/-/boards","Metadata quality and curation","Curation, Quality & Compliance",
29,"lack of interest/time for the sharing, refuse to open data","Researcher reticent to open data","User Support",
29,"Des améliorations sur la gestion des métadonnées, de relations avec les utilisateurs. Ils sont détaillés dans la colonne des tickets ouverts en attente de financement. https://gitlab.huma-num.fr/arkeogis/arkeogis/-/boards","Relations with the community","Other","External Engagement"
1,"The following features are on the wishlist: Safe access to video and audio. Multi-language metadata (more than English). Online tabulation of data (online data explorer).","Metadata : multilingual metadata","Discovery & Identification",
119,"- The repository is in a growing phase. Neuroscience data is highly complex. As a result, depositors must invest time and effort into formatting their data correctly. Therefore, it is difficult to convince new users to deposit their data.
- The domain specificity poses challenges in interoperability. Dataset-level metadata alone is insufficient for fully understanding the data. We are actively collaborating with the [Neurobagel project](https://neurobagel.org/) to improve interoperability in our field. This requires more interaction with the depositors to ensure their data is enriched with the necessary metadata from all stages of the experiment.
- Currently, the repository focuses on managing raw data from acquisition. However, users are increasingly interested in storing derived data, such as analysis results or processed data. Organizing this derived data is not trivial, as it needs to be properly linked to the raw data and include complete provenance information.","Data complexity","Deposit & Appraisal",
119,,"-",,
119,"- The repository is in a growing phase. Neuroscience data is highly complex. As a result, depositors must invest time and effort into formatting their data correctly. Therefore, it is difficult to convince new users to deposit their data.
- The domain specificity poses challenges in interoperability. Dataset-level metadata alone is insufficient for fully understanding the data. We are actively collaborating with the [Neurobagel project](https://neurobagel.org/) to improve interoperability in our field. This requires more interaction with the depositors to ensure their data is enriched with the necessary metadata from all stages of the experiment.
- Currently, the repository focuses on managing raw data from acquisition. However, users are increasingly interested in storing derived data, such as analysis results or processed data. Organizing this derived data is not trivial, as it needs to be properly linked to the raw data and include complete provenance information.","Data : focus on raw data while user interest is in derived data","Access",
119,"- The repository is in a growing phase. Neuroscience data is highly complex. As a result, depositors must invest time and effort into formatting their data correctly. Therefore, it is difficult to convince new users to deposit their data.
- The domain specificity poses challenges in interoperability. Dataset-level metadata alone is insufficient for fully understanding the data. We are actively collaborating with the [Neurobagel project](https://neurobagel.org/) to improve interoperability in our field. This requires more interaction with the depositors to ensure their data is enriched with the necessary metadata from all stages of the experiment.
- Currently, the repository focuses on managing raw data from acquisition. However, users are increasingly interested in storing derived data, such as analysis results or processed data. Organizing this derived data is not trivial, as it needs to be properly linked to the raw data and include complete provenance information.","Metadata : richer metadata","Discovery & Identification",
119,"- The repository is in a growing phase. Neuroscience data is highly complex. As a result, depositors must invest time and effort into formatting their data correctly. Therefore, it is difficult to convince new users to deposit their data.
- The domain specificity poses challenges in interoperability. Dataset-level metadata alone is insufficient for fully understanding the data. We are actively collaborating with the [Neurobagel project](https://neurobagel.org/) to improve interoperability in our field. This requires more interaction with the depositors to ensure their data is enriched with the necessary metadata from all stages of the experiment.
- Currently, the repository focuses on managing raw data from acquisition. However, users are increasingly interested in storing derived data, such as analysis results or processed data. Organizing this derived data is not trivial, as it needs to be properly linked to the raw data and include complete provenance information.","Metadata : richer metadata (for files)","Discovery & Identification",
138,"The need in manpower to manage evolution of the repository.","Human resources","Other","Resources"
11,,"-",,
31,,"-",,
103,"Supporting a wide range of life sciences domains and data types","Metadata : domains and data types","Discovery & Identification",
66,,"-",,
131,,"-",,
60,,"-",,
118,,"-",,
10,,"-",,
106,,"-",,
133,,"-",,
57,,"-",,
107,,"-",,
127,"Ensure quality for generic (meta)data - good curation guidelines; cover the whole lifecycle; ","Metadata quality and curation","Curation, Quality & Compliance",
68,,"-",,
14,"Multi script datasets, insufficent meta-data fields","Metadata : richer metadata","Discovery & Identification",
25,"We use Dataverse which is compared to Nesstar worse for users in some aspects (search for data, online analysis). We are developing data safe center - we need some way how to make accessible sensitive data. We have some difficulties with qualitative data (anonymisation).","Anonymisaton","Curation, Quality & Compliance",
25,"We use Dataverse which is compared to Nesstar worse for users in some aspects (search for data, online analysis). We are developing data safe center - we need some way how to make accessible sensitive data. We have some difficulties with qualitative data (anonymisation).","Sensitive data : Access","Access",
134,"The repository is used by multiple institutions, all of which have their community managers. Unfortunately, their skillsets and dedication are different.","Lack of training in partner research organizations","Curation, Quality & Compliance",
18,"Maintaining the software and working on many little bugs and details with limited staff; Curating subject-specific datasets and unknown data formats without knowledge in the respective discipline","Human resources (development)","Other","Resources"
159,"Dealing with very large volumes of data; dealing with unknown or inaccessible data formats; dealing with more complex legal issues (for example when a rights holder cannot be contacted)","High volume data","Access",
159,"Dealing with very large volumes of data; dealing with unknown or inaccessible data formats; dealing with more complex legal issues (for example when a rights holder cannot be contacted)","Interoperability : file formats","Interoperability",
159,"Dealing with very large volumes of data; dealing with unknown or inaccessible data formats; dealing with more complex legal issues (for example when a rights holder cannot be contacted)","Legal issues : when a partner can't be contacted","Other","Legal & Ethical"
143,"Deposit & Appraisal: We want to be better integrated with tools researchers use during research to make it easier to deposit data; There are many ways in which the deposit can be made easier for depositors (e.g. creating more automated suggestions, better guidance, easier to include external information already available).

Curation, Quality & Compliance: Metadata quality can be improved, we cannot always judgde the quality of the (meta)data for very specific domains. It would be great to more actively evaluate the reusability of the data but we cannot perform that task due to the workload; Limitations in the funding and available curators is an issue that limits the curation we can perform. Also having a better integration with other research objects (papers, code) would be helpful to enhance reusability and provide integrated information about a dataset to our users.

Discovery & Identification: Users sometimes have difficulty to find and assess what kind of data is available in our repository, improving search and discovery would be great. Some of the metadata we have available is not always exported into all formats limiting the information that is available in aggregators. It is also not always clear how aggregators (especially google) harvest and present our metadata and why certain information is findable or not findable. 

Access: Our biggest challenge is that restricted access datasets for which depositors need to give permission before the data can be downloaded respond slowly or are not available anymore after a given period of time. We are trying to mitigate this, reminding people more often and requiring data access protocols, but it has been proven to be difficult to guarantee long term access to restricted access data. 

Interoperability: Mainly the interoperability of data can be improved. We do perform transformation of data into preferred formats but the data itself is not altered and therefore often not interoperable in terms of the variable descriptions or data structures. It may be beyond our scope but improving interoperability at the data level would be very useful to improve reusability.

Preservation: for all new file formats that emerge preservation needs to be discussed so this is an ongoing aspect I believe. Another challenge that becomes more urgent is the question what data to archive/preserve as the amount of data is growing. How do we decide what data to archive and for how long?

Provenance/authenticity: with our switch to Dataverse we now have better versioning of our data which we did not have in our previous system. Still more information about provenance of the data could be included. 

User support: Despite having extensive guidance on our site, we see users misinterpreting fields or not providing all relevant information which costs time to communicate with them. We have a ticket system for questions but it costs a lot of resources to respond and be available for user questions. ","Interoperability with platforms and tools used by researchers","Deposit & Appraisal",
143,"Deposit & Appraisal: We want to be better integrated with tools researchers use during research to make it easier to deposit data; There are many ways in which the deposit can be made easier for depositors (e.g. creating more automated suggestions, better guidance, easier to include external information already available).

Curation, Quality & Compliance: Metadata quality can be improved, we cannot always judgde the quality of the (meta)data for very specific domains. It would be great to more actively evaluate the reusability of the data but we cannot perform that task due to the workload; Limitations in the funding and available curators is an issue that limits the curation we can perform. Also having a better integration with other research objects (papers, code) would be helpful to enhance reusability and provide integrated information about a dataset to our users.

Discovery & Identification: Users sometimes have difficulty to find and assess what kind of data is available in our repository, improving search and discovery would be great. Some of the metadata we have available is not always exported into all formats limiting the information that is available in aggregators. It is also not always clear how aggregators (especially google) harvest and present our metadata and why certain information is findable or not findable. 

Access: Our biggest challenge is that restricted access datasets for which depositors need to give permission before the data can be downloaded respond slowly or are not available anymore after a given period of time. We are trying to mitigate this, reminding people more often and requiring data access protocols, but it has been proven to be difficult to guarantee long term access to restricted access data. 

Interoperability: Mainly the interoperability of data can be improved. We do perform transformation of data into preferred formats but the data itself is not altered and therefore often not interoperable in terms of the variable descriptions or data structures. It may be beyond our scope but improving interoperability at the data level would be very useful to improve reusability.

Preservation: for all new file formats that emerge preservation needs to be discussed so this is an ongoing aspect I believe. Another challenge that becomes more urgent is the question what data to archive/preserve as the amount of data is growing. How do we decide what data to archive and for how long?

Provenance/authenticity: with our switch to Dataverse we now have better versioning of our data which we did not have in our previous system. Still more information about provenance of the data could be included. 

User support: Despite having extensive guidance on our site, we see users misinterpreting fields or not providing all relevant information which costs time to communicate with them. We have a ticket system for questions but it costs a lot of resources to respond and be available for user questions. ","Link to code and software","Curation, Quality & Compliance",
143,"Deposit & Appraisal: We want to be better integrated with tools researchers use during research to make it easier to deposit data; There are many ways in which the deposit can be made easier for depositors (e.g. creating more automated suggestions, better guidance, easier to include external information already available).

Curation, Quality & Compliance: Metadata quality can be improved, we cannot always judgde the quality of the (meta)data for very specific domains. It would be great to more actively evaluate the reusability of the data but we cannot perform that task due to the workload; Limitations in the funding and available curators is an issue that limits the curation we can perform. Also having a better integration with other research objects (papers, code) would be helpful to enhance reusability and provide integrated information about a dataset to our users.

Discovery & Identification: Users sometimes have difficulty to find and assess what kind of data is available in our repository, improving search and discovery would be great. Some of the metadata we have available is not always exported into all formats limiting the information that is available in aggregators. It is also not always clear how aggregators (especially google) harvest and present our metadata and why certain information is findable or not findable. 

Access: Our biggest challenge is that restricted access datasets for which depositors need to give permission before the data can be downloaded respond slowly or are not available anymore after a given period of time. We are trying to mitigate this, reminding people more often and requiring data access protocols, but it has been proven to be difficult to guarantee long term access to restricted access data. 

Interoperability: Mainly the interoperability of data can be improved. We do perform transformation of data into preferred formats but the data itself is not altered and therefore often not interoperable in terms of the variable descriptions or data structures. It may be beyond our scope but improving interoperability at the data level would be very useful to improve reusability.

Preservation: for all new file formats that emerge preservation needs to be discussed so this is an ongoing aspect I believe. Another challenge that becomes more urgent is the question what data to archive/preserve as the amount of data is growing. How do we decide what data to archive and for how long?

Provenance/authenticity: with our switch to Dataverse we now have better versioning of our data which we did not have in our previous system. Still more information about provenance of the data could be included. 

User support: Despite having extensive guidance on our site, we see users misinterpreting fields or not providing all relevant information which costs time to communicate with them. We have a ticket system for questions but it costs a lot of resources to respond and be available for user questions. ","Link to publications","Curation, Quality & Compliance",
143,"Deposit & Appraisal: We want to be better integrated with tools researchers use during research to make it easier to deposit data; There are many ways in which the deposit can be made easier for depositors (e.g. creating more automated suggestions, better guidance, easier to include external information already available).

Curation, Quality & Compliance: Metadata quality can be improved, we cannot always judgde the quality of the (meta)data for very specific domains. It would be great to more actively evaluate the reusability of the data but we cannot perform that task due to the workload; Limitations in the funding and available curators is an issue that limits the curation we can perform. Also having a better integration with other research objects (papers, code) would be helpful to enhance reusability and provide integrated information about a dataset to our users.

Discovery & Identification: Users sometimes have difficulty to find and assess what kind of data is available in our repository, improving search and discovery would be great. Some of the metadata we have available is not always exported into all formats limiting the information that is available in aggregators. It is also not always clear how aggregators (especially google) harvest and present our metadata and why certain information is findable or not findable. 

Access: Our biggest challenge is that restricted access datasets for which depositors need to give permission before the data can be downloaded respond slowly or are not available anymore after a given period of time. We are trying to mitigate this, reminding people more often and requiring data access protocols, but it has been proven to be difficult to guarantee long term access to restricted access data. 

Interoperability: Mainly the interoperability of data can be improved. We do perform transformation of data into preferred formats but the data itself is not altered and therefore often not interoperable in terms of the variable descriptions or data structures. It may be beyond our scope but improving interoperability at the data level would be very useful to improve reusability.

Preservation: for all new file formats that emerge preservation needs to be discussed so this is an ongoing aspect I believe. Another challenge that becomes more urgent is the question what data to archive/preserve as the amount of data is growing. How do we decide what data to archive and for how long?

Provenance/authenticity: with our switch to Dataverse we now have better versioning of our data which we did not have in our previous system. Still more information about provenance of the data could be included. 

User support: Despite having extensive guidance on our site, we see users misinterpreting fields or not providing all relevant information which costs time to communicate with them. We have a ticket system for questions but it costs a lot of resources to respond and be available for user questions. ","Metadata quality and curation","Curation, Quality & Compliance",
143,"Deposit & Appraisal: We want to be better integrated with tools researchers use during research to make it easier to deposit data; There are many ways in which the deposit can be made easier for depositors (e.g. creating more automated suggestions, better guidance, easier to include external information already available).

Curation, Quality & Compliance: Metadata quality can be improved, we cannot always judgde the quality of the (meta)data for very specific domains. It would be great to more actively evaluate the reusability of the data but we cannot perform that task due to the workload; Limitations in the funding and available curators is an issue that limits the curation we can perform. Also having a better integration with other research objects (papers, code) would be helpful to enhance reusability and provide integrated information about a dataset to our users.

Discovery & Identification: Users sometimes have difficulty to find and assess what kind of data is available in our repository, improving search and discovery would be great. Some of the metadata we have available is not always exported into all formats limiting the information that is available in aggregators. It is also not always clear how aggregators (especially google) harvest and present our metadata and why certain information is findable or not findable. 

Access: Our biggest challenge is that restricted access datasets for which depositors need to give permission before the data can be downloaded respond slowly or are not available anymore after a given period of time. We are trying to mitigate this, reminding people more often and requiring data access protocols, but it has been proven to be difficult to guarantee long term access to restricted access data. 

Interoperability: Mainly the interoperability of data can be improved. We do perform transformation of data into preferred formats but the data itself is not altered and therefore often not interoperable in terms of the variable descriptions or data structures. It may be beyond our scope but improving interoperability at the data level would be very useful to improve reusability.

Preservation: for all new file formats that emerge preservation needs to be discussed so this is an ongoing aspect I believe. Another challenge that becomes more urgent is the question what data to archive/preserve as the amount of data is growing. How do we decide what data to archive and for how long?

Provenance/authenticity: with our switch to Dataverse we now have better versioning of our data which we did not have in our previous system. Still more information about provenance of the data could be included. 

User support: Despite having extensive guidance on our site, we see users misinterpreting fields or not providing all relevant information which costs time to communicate with them. We have a ticket system for questions but it costs a lot of resources to respond and be available for user questions. ","Metadata user guidance ","Deposit & Appraisal",
143,"Deposit & Appraisal: We want to be better integrated with tools researchers use during research to make it easier to deposit data; There are many ways in which the deposit can be made easier for depositors (e.g. creating more automated suggestions, better guidance, easier to include external information already available).

Curation, Quality & Compliance: Metadata quality can be improved, we cannot always judgde the quality of the (meta)data for very specific domains. It would be great to more actively evaluate the reusability of the data but we cannot perform that task due to the workload; Limitations in the funding and available curators is an issue that limits the curation we can perform. Also having a better integration with other research objects (papers, code) would be helpful to enhance reusability and provide integrated information about a dataset to our users.

Discovery & Identification: Users sometimes have difficulty to find and assess what kind of data is available in our repository, improving search and discovery would be great. Some of the metadata we have available is not always exported into all formats limiting the information that is available in aggregators. It is also not always clear how aggregators (especially google) harvest and present our metadata and why certain information is findable or not findable. 

Access: Our biggest challenge is that restricted access datasets for which depositors need to give permission before the data can be downloaded respond slowly or are not available anymore after a given period of time. We are trying to mitigate this, reminding people more often and requiring data access protocols, but it has been proven to be difficult to guarantee long term access to restricted access data. 

Interoperability: Mainly the interoperability of data can be improved. We do perform transformation of data into preferred formats but the data itself is not altered and therefore often not interoperable in terms of the variable descriptions or data structures. It may be beyond our scope but improving interoperability at the data level would be very useful to improve reusability.

Preservation: for all new file formats that emerge preservation needs to be discussed so this is an ongoing aspect I believe. Another challenge that becomes more urgent is the question what data to archive/preserve as the amount of data is growing. How do we decide what data to archive and for how long?

Provenance/authenticity: with our switch to Dataverse we now have better versioning of our data which we did not have in our previous system. Still more information about provenance of the data could be included. 

User support: Despite having extensive guidance on our site, we see users misinterpreting fields or not providing all relevant information which costs time to communicate with them. We have a ticket system for questions but it costs a lot of resources to respond and be available for user questions. ","Preservation : file formats","Preservation",
143,"Deposit & Appraisal: We want to be better integrated with tools researchers use during research to make it easier to deposit data; There are many ways in which the deposit can be made easier for depositors (e.g. creating more automated suggestions, better guidance, easier to include external information already available).

Curation, Quality & Compliance: Metadata quality can be improved, we cannot always judgde the quality of the (meta)data for very specific domains. It would be great to more actively evaluate the reusability of the data but we cannot perform that task due to the workload; Limitations in the funding and available curators is an issue that limits the curation we can perform. Also having a better integration with other research objects (papers, code) would be helpful to enhance reusability and provide integrated information about a dataset to our users.

Discovery & Identification: Users sometimes have difficulty to find and assess what kind of data is available in our repository, improving search and discovery would be great. Some of the metadata we have available is not always exported into all formats limiting the information that is available in aggregators. It is also not always clear how aggregators (especially google) harvest and present our metadata and why certain information is findable or not findable. 

Access: Our biggest challenge is that restricted access datasets for which depositors need to give permission before the data can be downloaded respond slowly or are not available anymore after a given period of time. We are trying to mitigate this, reminding people more often and requiring data access protocols, but it has been proven to be difficult to guarantee long term access to restricted access data. 

Interoperability: Mainly the interoperability of data can be improved. We do perform transformation of data into preferred formats but the data itself is not altered and therefore often not interoperable in terms of the variable descriptions or data structures. It may be beyond our scope but improving interoperability at the data level would be very useful to improve reusability.

Preservation: for all new file formats that emerge preservation needs to be discussed so this is an ongoing aspect I believe. Another challenge that becomes more urgent is the question what data to archive/preserve as the amount of data is growing. How do we decide what data to archive and for how long?

Provenance/authenticity: with our switch to Dataverse we now have better versioning of our data which we did not have in our previous system. Still more information about provenance of the data could be included. 

User support: Despite having extensive guidance on our site, we see users misinterpreting fields or not providing all relevant information which costs time to communicate with them. We have a ticket system for questions but it costs a lot of resources to respond and be available for user questions. ","Preservation policy : what to keep?","Preservation",
143,"Deposit & Appraisal: We want to be better integrated with tools researchers use during research to make it easier to deposit data; There are many ways in which the deposit can be made easier for depositors (e.g. creating more automated suggestions, better guidance, easier to include external information already available).

Curation, Quality & Compliance: Metadata quality can be improved, we cannot always judgde the quality of the (meta)data for very specific domains. It would be great to more actively evaluate the reusability of the data but we cannot perform that task due to the workload; Limitations in the funding and available curators is an issue that limits the curation we can perform. Also having a better integration with other research objects (papers, code) would be helpful to enhance reusability and provide integrated information about a dataset to our users.

Discovery & Identification: Users sometimes have difficulty to find and assess what kind of data is available in our repository, improving search and discovery would be great. Some of the metadata we have available is not always exported into all formats limiting the information that is available in aggregators. It is also not always clear how aggregators (especially google) harvest and present our metadata and why certain information is findable or not findable. 

Access: Our biggest challenge is that restricted access datasets for which depositors need to give permission before the data can be downloaded respond slowly or are not available anymore after a given period of time. We are trying to mitigate this, reminding people more often and requiring data access protocols, but it has been proven to be difficult to guarantee long term access to restricted access data. 

Interoperability: Mainly the interoperability of data can be improved. We do perform transformation of data into preferred formats but the data itself is not altered and therefore often not interoperable in terms of the variable descriptions or data structures. It may be beyond our scope but improving interoperability at the data level would be very useful to improve reusability.

Preservation: for all new file formats that emerge preservation needs to be discussed so this is an ongoing aspect I believe. Another challenge that becomes more urgent is the question what data to archive/preserve as the amount of data is growing. How do we decide what data to archive and for how long?

Provenance/authenticity: with our switch to Dataverse we now have better versioning of our data which we did not have in our previous system. Still more information about provenance of the data could be included. 

User support: Despite having extensive guidance on our site, we see users misinterpreting fields or not providing all relevant information which costs time to communicate with them. We have a ticket system for questions but it costs a lot of resources to respond and be available for user questions. ","Access to restricted datasets (depositors answer too slowly)","Access",
143,"Deposit & Appraisal: We want to be better integrated with tools researchers use during research to make it easier to deposit data; There are many ways in which the deposit can be made easier for depositors (e.g. creating more automated suggestions, better guidance, easier to include external information already available).

Curation, Quality & Compliance: Metadata quality can be improved, we cannot always judgde the quality of the (meta)data for very specific domains. It would be great to more actively evaluate the reusability of the data but we cannot perform that task due to the workload; Limitations in the funding and available curators is an issue that limits the curation we can perform. Also having a better integration with other research objects (papers, code) would be helpful to enhance reusability and provide integrated information about a dataset to our users.

Discovery & Identification: Users sometimes have difficulty to find and assess what kind of data is available in our repository, improving search and discovery would be great. Some of the metadata we have available is not always exported into all formats limiting the information that is available in aggregators. It is also not always clear how aggregators (especially google) harvest and present our metadata and why certain information is findable or not findable. 

Access: Our biggest challenge is that restricted access datasets for which depositors need to give permission before the data can be downloaded respond slowly or are not available anymore after a given period of time. We are trying to mitigate this, reminding people more often and requiring data access protocols, but it has been proven to be difficult to guarantee long term access to restricted access data. 

Interoperability: Mainly the interoperability of data can be improved. We do perform transformation of data into preferred formats but the data itself is not altered and therefore often not interoperable in terms of the variable descriptions or data structures. It may be beyond our scope but improving interoperability at the data level would be very useful to improve reusability.

Preservation: for all new file formats that emerge preservation needs to be discussed so this is an ongoing aspect I believe. Another challenge that becomes more urgent is the question what data to archive/preserve as the amount of data is growing. How do we decide what data to archive and for how long?

Provenance/authenticity: with our switch to Dataverse we now have better versioning of our data which we did not have in our previous system. Still more information about provenance of the data could be included. 

User support: Despite having extensive guidance on our site, we see users misinterpreting fields or not providing all relevant information which costs time to communicate with them. We have a ticket system for questions but it costs a lot of resources to respond and be available for user questions. ","Data traceability","Provenance & Authenticity",
