"ID","challenges_other","challenges_coded","TTRAM_validation","TTRAM_other"
92,"Integration of tools used for active research data with our repository service for data and software.
Support for reproducibility of data and software, also in relation to Machine Learning (ML) and Artificial Intelligence (AI).","Tool integration with the repository for data and software","Other","Interoperability"
92,"Integration of tools used for active research data with our repository service for data and software.
Support for reproducibility of data and software, also in relation to Machine Learning (ML) and Artificial Intelligence (AI).","Support for reproducibility of data and software, also in relation to Machine Learning (ML) and Artificial Intelligence (AI).","Other","Interoperability"
50,"Lack of personnel. Technical/expert staff as well. Dependent on external developers.","Human resources : with expertise","People & Expertise",
50,"Lack of personnel. Technical/expert staff as well. Dependent on external developers.","Human resources : development","People & Expertise",
104,,"-",,
62,,"-",,
15,"multiple other solutions at different scales","Multiple other solutions","Mission & Scope",
29,"Trouver des ressources pérennes... ","Funding","Resources",
1,"Resources for IT development and product development, permanent resources for Data Stewards and Communication","Human resources : development","People & Expertise",
1,"Resources for IT development and product development, permanent resources for Data Stewards and Communication","Human resources : data stewards","People & Expertise",
119,"The major challenge for our repository is personnel resources. The University of Salzburg, our host institution, has recently committed to two permanent positions. However, these roles come with additional responsibilities beyond the ANC. Another key area we're focusing on is governance. As a young repository with a small team, we currently rely on the core team and are working on building a community that will support both the core team and other users.","Human resources","Resources",
119,"The major challenge for our repository is personnel resources. The University of Salzburg, our host institution, has recently committed to two permanent positions. However, these roles come with additional responsibilities beyond the ANC. Another key area we're focusing on is governance. As a young repository with a small team, we currently rely on the core team and are working on building a community that will support both the core team and other users.","Governance","Governance",
119,"The major challenge for our repository is personnel resources. The University of Salzburg, our host institution, has recently committed to two permanent positions. However, these roles come with additional responsibilities beyond the ANC. Another key area we're focusing on is governance. As a young repository with a small team, we currently rely on the core team and are working on building a community that will support both the core team and other users.","Community outreach","External Engagement",
138,"support from the host institution and manpower for the various needs of the repository","Human resources","Resources",
138,"support from the host institution and manpower for the various needs of the repository","Support from parent / host institution","Governance",
11,,"-",,
31,,"-",,
103,,"-",,
66,,"-",,
131,,"-",,
60,,"-",,
118,"Too much depends on the service provider.","Third party dependencies (Duraspace)","Third Party Dependencies",
10,,"-",,
106,,"-",,
133,,"-",,
57,,"-",,
107,,"-",,
127,"Support structure, legal support always needed","Legal or ethical issues about data","Legal & Ethical",
68,"Just a note related to the previous question: I am not sure I understand everything that was listed in the previous question, but there was no option to select ""I don't know""","-",,
14,"dependency on external service provider concerning improvement of the system; lack of staff","Third party dependencies (Ex Libris Rosetta)","Third Party Dependencies",
14,"dependency on external service provider concerning improvement of the system; lack of staff","Human resources","Resources",
9,,"-",,
25,,"-",,
134,"Some participating institutions cannot provide highly skilled staff. Too much depends on the service provider and although there is a SLA in place, there is a risk of unintended vendor lock-in.","Human resources skillset (participating institutions)","People & Expertise",
134,"Some participating institutions cannot provide highly skilled staff. Too much depends on the service provider and although there is a SLA in place, there is a risk of unintended vendor lock-in.","Third party dependencies (Duraspace)","Third Party Dependencies",
18,"Limited staff for repository maintenance and optimisation; awareness and adoption among researchers could be better","Human resources : development","People & Expertise",
159,"Clear metrics. It is especially difficult to get an indication of reuse of datasets; Storage and costs; necessity of charging for storage of larger volumes of data.","Measurement/metrics","Analysis & Impact",
143,"The biggest challenges I can identify are:
- The wish from the community to host more sensitive data and how we can provide for this
- With this legal and ethical considerations around sensitive data 
- Professionalizing our service as we see the demands for formal certifications grow from the community
- Being depended on short-term project funding while providing a sustainable service 
- Having limited budget while the need for data services increase
- Attracting skilled personnel
- Training our staff (while already being short on time)
- Keeping up to date with developments in the RDM and repository field","Support for sensitive data","Legal & Ethical",
143,"The biggest challenges I can identify are:
- The wish from the community to host more sensitive data and how we can provide for this
- With this legal and ethical considerations around sensitive data 
- Professionalizing our service as we see the demands for formal certifications grow from the community
- Being depended on short-term project funding while providing a sustainable service 
- Having limited budget while the need for data services increase
- Attracting skilled personnel
- Training our staff (while already being short on time)
- Keeping up to date with developments in the RDM and repository field","Legal or ethical issues about data","Legal & Ethical",
143,"The biggest challenges I can identify are:
- The wish from the community to host more sensitive data and how we can provide for this
- With this legal and ethical considerations around sensitive data 
- Professionalizing our service as we see the demands for formal certifications grow from the community
- Being depended on short-term project funding while providing a sustainable service 
- Having limited budget while the need for data services increase
- Attracting skilled personnel
- Training our staff (while already being short on time)
- Keeping up to date with developments in the RDM and repository field","Competition for funding / Project-based funding","Resources","Continuity of Service"
67,"resources","Resources","Resources",
136,"The most significant challenge is:
- Measuring usage of our services, and thus impact. 

Besides that, the following issues are challenging: 
- The exact scope and target audience of our repository is continuously subject of debate. 
- Funding is in part project based, which always poses challenges to continuity.
- It is hard to find qualified personnel.
- We function within a network of services and organisations, which creates dependencies which can be challenging.
","Measuring the impact","Analysis & Impact",
136,"The most significant challenge is:
- Measuring usage of our services, and thus impact. 

Besides that, the following issues are challenging: 
- The exact scope and target audience of our repository is continuously subject of debate. 
- Funding is in part project based, which always poses challenges to continuity.
- It is hard to find qualified personnel.
- We function within a network of services and organisations, which creates dependencies which can be challenging.
","Assessing the scope / target audience","Mission & Scope",
136,"The most significant challenge is:
- Measuring usage of our services, and thus impact. 

Besides that, the following issues are challenging: 
- The exact scope and target audience of our repository is continuously subject of debate. 
- Funding is in part project based, which always poses challenges to continuity.
- It is hard to find qualified personnel.
- We function within a network of services and organisations, which creates dependencies which can be challenging.
","Human resources","Resources",
