"ID","challenges_other","challenge_category","challenges_coded","TTRAM_validation"
108,"-",,"-",
92,"Protection of sensitive data through encryption, access controls, and compliance with regulations like GDPR.
Storage of large data collections.","Storage & Integrity","High volume data","Storage & Integrity"
92,"Protection of sensitive data through encryption, access controls, and compliance with regulations like GDPR.
Storage of large data collections.","Security","Security","Security"
50,"Dependence on external experts/developers","Storage & Integrity","Third party dependencies","Third Party Dependencies"
104,"Robustness and reliability","Technical Infrastructure","Infrastructure : robustness and reliability","Technical Infrastructure"
62,"-",,"-",
15,"Find perennial resources","Other","Funding","Resources"
29,"fast evolution of internet standards in comparison to time/money for developpements","Tech Watch","Keeping up with new standards","Resources"
1,"For existing holdings we have no challenges for sensitive data management. But for the wishlist of future developments incl. video and audio files I marked moderate challenges.","Tech Watch","Keeping up with new standards","Resources"
119,"The repository lacks sufficient personnel resources to effectively monitor technological advancements or develop expertise in security and technical infrastructure. Additionally, the growing number of services that need to be maintained presents a challenge for the available staff. Disk space upgrades may be necessary if the repository successfully attracts a large number of dataset deposits.","Storage & Integrity","High volume data","Storage & Integrity"
119,"The repository lacks sufficient personnel resources to effectively monitor technological advancements or develop expertise in security and technical infrastructure. Additionally, the growing number of services that need to be maintained presents a challenge for the available staff. Disk space upgrades may be necessary if the repository successfully attracts a large number of dataset deposits.","Other","Human resources : IT","People & Expertise"
119,"The repository lacks sufficient personnel resources to effectively monitor technological advancements or develop expertise in security and technical infrastructure. Additionally, the growing number of services that need to be maintained presents a challenge for the available staff. Disk space upgrades may be necessary if the repository successfully attracts a large number of dataset deposits.","Tech Watch","Keeping up with new standards","Resources"
138,"Only avoid the malware encryption of data (but we have backups of data)","Security","Security","Security"
11,"-",,"-",
31,"-",,"-",
103,"Large scale storage costs","Other","Funding : large scale storage","Resources"
66,"-",,"-",
131,"-",,"-",
60,"-",,"-",
118," There are no resources for major software upgrades. Insufficient IT staff.","Other","Human resources : IT","People & Expertise"
10,"-",,"-",
106,"-",,"-",
133,"There are no resources for major software apgrades. Insufficient IT staff.","Other","Funding","Resources"
57,"-",,"-",
107,"-",,"-",
127,"We need more staff for a faster deployment of new features","Other","Human resources : development","People & Expertise"
68,"-",,"-",
14,"Technical challenges must be solved by our service provider, the GBV.","Storage & Integrity","Third party dependencies","Third Party Dependencies"
9,"-",,"-",
25,"-",,"-",
134,"There are no resources for major software upgrades. Insufficient IT staff. Sensitive data is not an issues, as it's not accepted in the repository.","Other","Human resources : IT","People & Expertise"
159,"I'm not the right person to answer this question but I suppose the major challenges concern larger volumes of data.","Storage & Integrity","High volume data","Storage & Integrity"
143,"Not my area of expertise but keeping up to date with technical developments I would say is a general challenge; Ensuring our system develops with the newest developments. As mentioned above dealing with sensitive data is a large wish from our community but not something we can currently offer so this is a large challenge for us I would say.","Tech Watch","Keeping up with new standards","Resources"
67,"tech watch","Tech Watch","Collaborative tech watch","Research & development"
136,"Most significant challenges: - Our repository service is ill equipped to manage datasets which exceed 10 GB per deposit. - Our repository service is not suitable for sensitive data which exceed a certain degree of confidentiality (e.g. personal data of a special nature)","Storage & Integrity","High volume data","Storage & Integrity"
136,"Most significant challenges: - Our repository service is ill equipped to manage datasets which exceed 10 GB per deposit. - Our repository service is not suitable for sensitive data which exceed a certain degree of confidentiality (e.g. personal data of a special nature)","Sensitive data management","Sensitive data : repository not suitable for some types of sensitive data (personal data for ex.)","Legal & Ethical"
132,"-",,"-",
145,"-",,"-",
46,"Long term availability of storage for large data sets, interfaces to tape libraries, dependencies on AAI services of the institution, maintenance and security","Storage & Integrity","Long term availability storage","Storage & Integrity"
46,"Long term availability of storage for large data sets, interfaces to tape libraries, dependencies on AAI services of the institution, maintenance and security","Security","Security","Security"
46,"Long term availability of storage for large data sets, interfaces to tape libraries, dependencies on AAI services of the institution, maintenance and security","Storage & Integrity","Third party dependencies","Third Party Dependencies"
91,"-",,"-",
20,"STORAGE & INTEGRITY Could profit from: 1) Integration with large data managing system(s), e.g., Globus; 2) More automated integrity checking system. TECHNICAL INFRASTRUCTURE Could profit from: 1) More robust containerized deployment in non-commercial cloud services, in collaboration with other Dataverse installations; 2) More long-term sustainability commitment to community-driven open infrastructure used by our and many other research repositories. TECH WATCH Could profit from more coordinated collaborative approaches to tech watch for aspects relevant to TDRs. SENSITIVE DATA MANAGEMENT Could profit from: 1) Global, operationalizable data privacy classification framework for research data, that can be adapted at national and institutional levels; 2) By-design implementation of the framework mentioned in (1) in the repository software and integrated tools and services; 3) National data privacy training program targeted at repository support staff. SECURITY Could profit from more coordinated community-driven approaches to security management of aspects relevant to TDRs.","Tech Watch","Collaborative tech watch","Research & development"
20,"STORAGE & INTEGRITY Could profit from: 1) Integration with large data managing system(s), e.g., Globus; 2) More automated integrity checking system. TECHNICAL INFRASTRUCTURE Could profit from: 1) More robust containerized deployment in non-commercial cloud services, in collaboration with other Dataverse installations; 2) More long-term sustainability commitment to community-driven open infrastructure used by our and many other research repositories. TECH WATCH Could profit from more coordinated collaborative approaches to tech watch for aspects relevant to TDRs. SENSITIVE DATA MANAGEMENT Could profit from: 1) Global, operationalizable data privacy classification framework for research data, that can be adapted at national and institutional levels; 2) By-design implementation of the framework mentioned in (1) in the repository software and integrated tools and services; 3) National data privacy training program targeted at repository support staff. SECURITY Could profit from more coordinated community-driven approaches to security management of aspects relevant to TDRs.","Technical Infrastructure","Integrating with large data management system(s)","Interoperability"
20,"STORAGE & INTEGRITY Could profit from: 1) Integration with large data managing system(s), e.g., Globus; 2) More automated integrity checking system. TECHNICAL INFRASTRUCTURE Could profit from: 1) More robust containerized deployment in non-commercial cloud services, in collaboration with other Dataverse installations; 2) More long-term sustainability commitment to community-driven open infrastructure used by our and many other research repositories. TECH WATCH Could profit from more coordinated collaborative approaches to tech watch for aspects relevant to TDRs. SENSITIVE DATA MANAGEMENT Could profit from: 1) Global, operationalizable data privacy classification framework for research data, that can be adapted at national and institutional levels; 2) By-design implementation of the framework mentioned in (1) in the repository software and integrated tools and services; 3) National data privacy training program targeted at repository support staff. SECURITY Could profit from more coordinated community-driven approaches to security management of aspects relevant to TDRs.","Technical Infrastructure","More automated integrity check systems","Storage & Integrity"
20,"STORAGE & INTEGRITY Could profit from: 1) Integration with large data managing system(s), e.g., Globus; 2) More automated integrity checking system. TECHNICAL INFRASTRUCTURE Could profit from: 1) More robust containerized deployment in non-commercial cloud services, in collaboration with other Dataverse installations; 2) More long-term sustainability commitment to community-driven open infrastructure used by our and many other research repositories. TECH WATCH Could profit from more coordinated collaborative approaches to tech watch for aspects relevant to TDRs. SENSITIVE DATA MANAGEMENT Could profit from: 1) Global, operationalizable data privacy classification framework for research data, that can be adapted at national and institutional levels; 2) By-design implementation of the framework mentioned in (1) in the repository software and integrated tools and services; 3) National data privacy training program targeted at repository support staff. SECURITY Could profit from more coordinated community-driven approaches to security management of aspects relevant to TDRs.","Technical Infrastructure","Non-commercial cloud services","Storage & Integrity"
20,"STORAGE & INTEGRITY Could profit from: 1) Integration with large data managing system(s), e.g., Globus; 2) More automated integrity checking system. TECHNICAL INFRASTRUCTURE Could profit from: 1) More robust containerized deployment in non-commercial cloud services, in collaboration with other Dataverse installations; 2) More long-term sustainability commitment to community-driven open infrastructure used by our and many other research repositories. TECH WATCH Could profit from more coordinated collaborative approaches to tech watch for aspects relevant to TDRs. SENSITIVE DATA MANAGEMENT Could profit from: 1) Global, operationalizable data privacy classification framework for research data, that can be adapted at national and institutional levels; 2) By-design implementation of the framework mentioned in (1) in the repository software and integrated tools and services; 3) National data privacy training program targeted at repository support staff. SECURITY Could profit from more coordinated community-driven approaches to security management of aspects relevant to TDRs.","Sensitive data management","Staff training in data privacy","Training"
