"ID","Variable","Resources_services","PurposeOfUse3","Resources_services_coded","Resources_services_TTRAM","PurposeOfUse3_coded","PurposeOfUse3_coded_TTRAM"
1,1,"CESSDA Data Catalogue","discoverability, finding data","CESSDA Data catalogue","Discovery & Identification","Finding data","Discovery & Identification"
1,2,"DataCite","discoverability, finding data","DataCite","Deposit & Appraisal, Discovery & Identification","Finding data","Finding data (Deposit & Appraisal, Discovery & Identification)"
1,3,"OpenAIRE","reporting, discoverability, finding data","OpenAIRE","Discovery & Identification, Workflows","Finding data","Finding data (Discovery & Identification, Workflows)"
1,4,"BASE and national and institutional library catalogues","discoverability, finding data","BASE","Discovery & Identification","Finding data","Discovery & Identification"
1,5,"In den PDF there was also a question on catalogues which I answered above. Here is the asnwer for this question: Shibboleth login; ACOnet filesender","for access; for data deposit","In den PDF there was also a question on catalogues which I answered above. Here is the asnwer for this question: Shibboleth login; ACOnet filesender",,,
2,1,,,,,,
2,2,,,,,,
2,3,,,,,,
2,4,,,,,,
2,5,,,,,,
3,1,,,,,,
3,2,,,,,,
3,3,,,,,,
3,4,,,,,,
3,5,,,,,,
4,1,,,,,,
4,2,,,,,,
4,3,,,,,,
4,4,,,,,,
4,5,,,,,,
5,1,"Geonames","Controlled vocabulary for placenames (curation)","Geonames","Discovery & Identification","geographical metadata","geographical metadata (Discovery & Identification)"
5,2,"Handle.net","Managing items within the platform (DSpace); labeling communities and collections","Handle System","Access, Reuse, Preservation","Handle system","Access, Reuse, Preservation"
5,3,"DataCite DOIs (via British Library consortium)","issuing DOIs for items","Datacite","Deposit & Appraisal, Discovery & Identification","Identifier registration","Identifier registration (Deposit & Appraisal, Discovery & Identification)"
5,4,"HESA vocabulary","controlled subject vocabulary","HESA vocabulary","Discovery & Identification","Semantic : vocabularies and thesauri","Semantic : vocabularies and thesauri (Discovery & Identification)"
5,5,,,,,,
6,1,"RENATER register","Shibboleth authentication","RENATER register","Access","Authentication tools","Authentication tools (Access)"
6,2,"Agence nationale pour la Recherche registry of funded projects","Funding and project information fields","Agence nationale pour la Recherche registry of funded projects","Discovery & Identification, Workflows","Funding information","Funding information (Discovery & Identification, Workflows)"
6,3,,,,,,
6,4,,,,,,
6,5,,,,,,
7,1,,,,,,
7,2,,,,,,
7,3,,,,,,
7,4,,,,,,
7,5,,,,,,
8,1,,,,,,
8,2,,,,,,
8,3,,,,,,
8,4,,,,,,
8,5,,,,,,
9,1,,,,,,
9,2,,,,,,
9,3,,,,,,
9,4,,,,,,
9,5,,,,,,
10,1,,,,,,
10,2,,,,,,
10,3,,,,,,
10,4,,,,,,
10,5,,,,,,
11,1,"https://gnss-metadata.eu/","station information validation, Quality & Compliance","https://gnss-metadata.eu/","Quality & Compliance","Station information validation","Station information validation (Quality & Compliance)"
11,2,,,,,,
11,3,,,,,,
11,4,,,,,,
11,5,,,,,,
12,1,"IGS site log (standard to store GNSS station infomatio - text based)","Deposit, Access & Reuse, Quality & Compliance","IGS site log (standard to store GNSS station infomatio - text based)",,"Station information validation","Deposit, Access & Reuse, Quality & Compliance"
12,2,"GeodesyML files","Deposit, Access & Reuse, Quality & Compliance","GeodesyML files","Deposit, Access & Reuse, Quality & Compliance",," (Deposit, Access & Reuse, Quality & Compliance)"
12,3,"Site pictures","Deposit, Access & Reuse, Quality & Compliance","Site pictures",,,"Deposit, Access & Reuse, Quality & Compliance"
12,4,,,,,,
12,5,,,,,,
13,1,,,,,,
13,2,,,,,,
13,3,,,,,,
13,4,,,,,,
13,5,,,,,,
14,1,"GND (Gemeinsame Normdatei)","authority files for personal names, institutions and metadata and controlled vocabulary (personal names, subject keywords, countries etc.)","GND (Gemeinsame Normdatei)",,"Semantic : vocabularies and thesauri",
14,2,"ORCID","metadata: personal names","ORCID","Discovery & Identification","Registries of persons","Registries of persons (Discovery & Identification)"
14,3,,,,,,
14,4,,,,,,
14,5,,,,,,
15,1,,,,,,
15,2,,,,,,
15,3,,,,,,
15,4,,,,,,
15,5,,,,,,
16,1,,,,,,
16,2,,,,,,
16,3,,,,,,
16,4,,,,,,
16,5,,,,,,
17,1,,,,,,
17,2,,,,,,
17,3,,,,,,
17,4,,,,,,
17,5,,,,,,
18,1,"DataCite","DOI registration","DataCite","Deposit & Appraisal, Discovery & Identification","Identifier registration","Identifier registration (Deposit & Appraisal, Discovery & Identification)"
