"ID","Metadata","Data","Code and software","Other digital objects"
1,"CC0 1.0 Public Domain Dedication","CC-BY, CC-BY-SA, CC-BY-NC, Scientific Use File Licence","CC-BY, CC-BY-SA, CC-BY-NC, Scientific Use File Licence","CC-BY, CC-BY-SA, CC-BY-NC, Scientific Use File Licence"
2,,,,
3,,,,
4,,,,
5,"Terms and conditions allow completely free use: https://library.ed.ac.uk/research-support/research-data-service/after/data-repository/service-policies/data-metadata-policy","Default licence is CC-BY 4.0 International but users can override this to attach their own choice.","Default licence is CC-BY 4.0 International but users can override this to attach their own choice (they usually do for software).","Default licence is CC-BY 4.0 International but users can override this to attach their own choice."
6,,"https://spdx.org/licenses/etalab-2.0.html",,
7,,,,
8,,,,
9,,"own license",,
10,,,,
11,"CC BY 4.0","CC BY 4.0",,
12,"CC BY 4.0","CC BY 4.0",,
13,"CC-BY 4.0","CC-BY 4.0","BSD","MorpheusML model descriptions, figures, text: CC-BY 4.0"
14,"open access","depends on selection of user (CrossAsia Open Access Repository licence (German copyright law) or Creative Commons license etc.","not applicable",
15,"users choose from different CC-BY or ETALAB","users choose from different CC-BY or ETALAB","unsure",
16,"CC0","CC BY (default), CC0","CC BY (default), CC0","CC BY (default), CC0"
17,,,,
18,"currently not indicated","mainly Creative Commons licenses, but users can choose other or own licenses as well (license name and URL must be indicated)","users can freely choose licenses (license name and URL must be indicated), we recommend e. g. choosealicense.com","users can freely choose licenses (license name and URL must be indicated)"
19,"CC0","Whenever possible, Creative Commons CC0 (default) or other recommended standard licenses","Whenever possible, recommended standard licenses for code/software, preferably European Union Public Licence, Version 1.2 or later (EUPL) or MIT License.","Sometimes depositors want to archive and publish project reports and similar publications related to data as part of the dataset. We usually recommend other repositories or publishing venues for such resources. If to be included in our repository, we recommend applying Creative Commons CC0 or CC BY, or another recommended standard license to this kind of resources."
20,"CC0","Whenever possible, Creative Commons CC0 (default) or other recommended standard licenses","Whenever possible, recommended standard licenses for code/software, preferably European Union Public Licence, Version 1.2 or later (EUPL) or MIT License.","Sometimes depositors want to archive and publish project reports and similar publications related to data as part of the dataset. We usually recommend other repositories or publishing venues for such resources. If to be included in our repository, we recommend applying Creative Commons CC0 or CC BY, or another recommended standard license to this kind of resources."
21,"CCBY","CCBY","GPL3",
22,"CC0 (as stated in the repository's Terms of Service)","CC0 (default), CC BY, CC BY SA, Apache, BSD, GPL, LGPL, AGPL, ODC, MIT","CC0 (default), CC BY, CC BY SA, Apache, BSD, GPL, LGPL, AGPL, ODC, MIT","CC0 (default), CC BY, CC BY SA, Apache, BSD, GPL, LGPL, AGPL, ODC, MIT"
23,,,,
24,,,,
25,,,,
