"ID","For the reuse of code/software, which license(s) does your repository apply?","CC0","CC-BY or compliant","CC-BY-SA","CC-BY-NC","CC-BY-NC-SA","BSD","Apache","ODBI","(L)GPL","Affero GPL","ODC","MIT","European Union public license","""Public domain"" or ""free use"" without a (known) license","Commercial license","All rights reserved","Scientific use file Licence","Other : ToS, Internal licenses...","Custom license, chosen by user","Mozilla Public License","Eclipse Public License","Other","ODbL",
1,"CC-BY, CC-BY-SA, CC-BY-NC, Scientific Use File Licence",,1,1,1,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Default licence is CC-BY 4.0 International but users can override this to attach their own choice (they usually do for software).",,1,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,
13,"BSD",,,,,,1,,,,,,,,,,,,,,,,,,
14,"not applicable",,,,,,,,,,,,,,,,,,,,,,,,
15,"unsure",,,,,,,,,,,,,,,,,,,,,,,,
16,"CC BY (default), CC0",1,1,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,
18,"users can freely choose licenses (license name and URL must be indicated), we recommend e. g. choosealicense.com",,,,,,,,,,,,,,,,,,,1,,,,,
19,"Whenever possible, recommended standard licenses for code/software, preferably European Union Public Licence, Version 1.2 or later (EUPL) or MIT License.",,,,,,,,,,,,1,1,,,,,0,0,0,0,0,0,0
20,"Whenever possible, recommended standard licenses for code/software, preferably European Union Public Licence, Version 1.2 or later (EUPL) or MIT License.",,,,,,,,,,,,1,1,,,,,,,,,,,
21,"GPL3",,,,,,,,,1,,,,,,,,,,,,,,,
22,"CC0 (default), CC BY, CC BY SA, Apache, BSD, GPL, LGPL, AGPL, ODC, MIT",1,1,1,,,1,1,,1,1,1,1,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,
